GraphID,NumNodes,DensityValue,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm
dijkstra_10_Sparse_0,10,0.05,0.0037663994589820504,0.0012331998732406646,Dijkstra
dijkstra_10_Sparse_1,10,0.05,0.015191399870673195,0.0014333993021864444,Dijkstra
dijkstra_10_Sparse_2,10,0.05,0.00825059978524223,0.0009748000593390316,Dijkstra
dijkstra_10_Medium_0,10,0.25,0.002399799268459901,0.0006750000466126949,Dijkstra
dijkstra_10_Medium_1,10,0.25,0.03302500044810586,0.0035170000046491623,Dijkstra
dijkstra_10_Medium_2,10,0.25,0.0304749992210418,0.0027084010071121156,Dijkstra
dijkstra_10_Dense_0,10,0.6,0.02890819960157387,0.004908400296699256,Dijkstra
dijkstra_10_Dense_1,10,0.6,0.031000000308267772,0.0048416011850349605,Dijkstra
dijkstra_10_Dense_2,10,0.6,0.030033400980755687,0.004741799784824252,Dijkstra
dijkstra_50_Sparse_0,50,0.05,0.6934083998203278,0.01729179930407554,Dijkstra
dijkstra_50_Sparse_1,50,0.05,0.6932500007678755,0.014516600640490651,Dijkstra
dijkstra_50_Sparse_2,50,0.05,0.840199799858965,0.019691800844157115,Dijkstra
dijkstra_50_Medium_0,50,0.25,0.5240001992206089,0.05360020004445687,Dijkstra
dijkstra_50_Medium_1,50,0.25,0.530941599572543,0.052691600285470486,Dijkstra
dijkstra_50_Medium_2,50,0.25,0.48216680079349317,0.049808601033873856,Dijkstra
dijkstra_50_Dense_0,50,0.6,0.4658833997382317,0.08055819998844527,Dijkstra
dijkstra_50_Dense_1,50,0.6,0.43132479913765565,0.06842480070190504,Dijkstra
dijkstra_50_Dense_2,50,0.6,0.4408998000144493,0.07253340081661008,Dijkstra
dijkstra_100_Sparse_0,100,0.05,2.0809164001548197,0.05117499968037009,Dijkstra
dijkstra_100_Sparse_1,100,0.05,2.053350400819909,0.0478497997391969,Dijkstra
dijkstra_100_Sparse_2,100,0.05,1.907324799685739,0.04627479938790202,Dijkstra
dijkstra_100_Medium_0,100,0.25,1.2848082005803008,0.12326680007390678,Dijkstra
dijkstra_100_Medium_1,100,0.25,1.3082666002446786,0.10528300190344453,Dijkstra
dijkstra_100_Medium_2,100,0.25,1.2870829996245448,0.12694180040853098,Dijkstra
dijkstra_100_Dense_0,100,0.6,1.3000501996430103,0.18563340127002448,Dijkstra
dijkstra_100_Dense_1,100,0.6,1.31086659966968,0.193241800297983,Dijkstra
dijkstra_100_Dense_2,100,0.6,1.2631247991521377,0.1967999996850267,Dijkstra
dijkstra_200_Sparse_0,200,0.05,5.927483199775452,0.14752479910384864,Dijkstra
dijkstra_200_Sparse_1,200,0.05,5.96727520096465,0.15149179962463677,Dijkstra
dijkstra_200_Sparse_2,200,0.05,5.809166801191168,0.145824999344768,Dijkstra
dijkstra_200_Medium_0,200,0.25,4.778424800315406,0.3725248003320303,Dijkstra
dijkstra_200_Medium_1,200,0.25,4.649708000215469,0.35867519982275553,Dijkstra
dijkstra_200_Medium_2,200,0.25,4.732125000009546,0.3789665992371738,Dijkstra
dijkstra_200_Dense_0,200,0.6,4.825950200029183,0.6469836000178475,Dijkstra
dijkstra_200_Dense_1,200,0.6,4.8799999996845145,0.6560581998201087,Dijkstra
dijkstra_200_Dense_2,200,0.6,4.906533200846752,0.6438497992348857,Dijkstra
dijkstra_500_Sparse_0,500,0.05,31.539758200960932,0.7419248002406675,Dijkstra
dijkstra_500_Sparse_1,500,0.05,31.49535820048186,0.7583834005345125,Dijkstra
dijkstra_500_Sparse_2,500,0.05,31.209066999872448,0.7439166001859121,Dijkstra
dijkstra_500_Medium_0,500,0.25,29.753299999720184,2.118174999486655,Dijkstra
dijkstra_500_Medium_1,500,0.25,29.80345820033108,2.0459415987716056,Dijkstra
dijkstra_500_Medium_2,500,0.25,29.829416599386605,2.05488339997828,Dijkstra
dijkstra_500_Dense_0,500,0.6,31.731541799672414,4.285441800311673,Dijkstra
dijkstra_500_Dense_1,500,0.6,31.622633399092592,4.154799999378156,Dijkstra
dijkstra_500_Dense_2,500,0.6,31.605383399437414,4.093483399628894,Dijkstra
