GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixOpTime_ms,AvgListOpTime_ms,Algorithm
g_getneigh_10_Sparse_1,10,9,45,Sparse,0.2,0.09541700092086103,0.0035829998523695394,0.0006239165004444658,2.00829999812413e-05,GetNeighbors
g_getneigh_10_Sparse_2,10,9,45,Sparse,0.2,0.020292000044719316,0.0021660016500391066,0.0006174375002956367,2.0000000404252205e-05,GetNeighbors
g_getneigh_10_Sparse_3,10,9,45,Sparse,0.2,0.0195419997908175,0.002458000381011516,0.0005983544997434365,1.9999999494757503e-05,GetNeighbors
g_getneigh_10_Sparse_4,10,9,45,Sparse,0.2,0.011209000149392523,0.0015829991752980277,0.000631124999927124,2.0375000531203113e-05,GetNeighbors
g_getneigh_10_Sparse_5,10,9,45,Sparse,0.2,0.0262910016317619,0.002749999111983925,0.0007092915002431255,2.2145499315229245e-05,GetNeighbors
g_getneigh_10_Medium_1,10,11,45,Medium,0.24444444444444444,0.03149999974993989,0.003917000867659226,0.0005986044998280704,2.0292000044719316e-05,GetNeighbors
g_getneigh_10_Medium_2,10,11,45,Medium,0.24444444444444444,0.016332998711732216,0.0020000006770715117,0.000607521000347333,2.0479000340856146e-05,GetNeighbors
g_getneigh_10_Medium_3,10,11,45,Medium,0.24444444444444444,0.018374999854131602,0.0023749998945277184,0.0006228124993867823,2.0458500330278184e-05,GetNeighbors
g_getneigh_10_Medium_4,10,11,45,Medium,0.24444444444444444,0.018374999854131602,0.0020829993445659056,0.0006126460002633394,2.0000000404252205e-05,GetNeighbors
g_getneigh_10_Medium_5,10,11,45,Medium,0.24444444444444444,0.01758399957907386,0.001708000127109699,0.0006216250003490131,1.98540001292713e-05,GetNeighbors
g_getneigh_10_Dense_1,10,27,45,Dense,0.6,0.02499999936844688,0.0017500005924375728,0.0007012705000306596,2.079149999190122e-05,GetNeighbors
g_getneigh_10_Dense_2,10,27,45,Dense,0.6,0.02829200093401596,0.005208999937167391,0.0007254165002450463,2.1146000108274166e-05,GetNeighbors
g_getneigh_10_Dense_3,10,27,45,Dense,0.6,0.029625000024680048,0.012124999557272531,0.0006433749995267135,2.052100080618402e-05,GetNeighbors
g_getneigh_10_Dense_4,10,27,45,Dense,0.6,0.01891699866973795,0.0019170001905877143,0.0006263330005822354,2.045800010819221e-05,GetNeighbors
g_getneigh_10_Dense_5,10,27,45,Dense,0.6,0.021333000404410996,0.0021249998098937795,0.0006360415000017383,1.9916999917768408e-05,GetNeighbors
g_getneigh_50_Sparse_1,50,61,1225,Sparse,0.04979591836734694,0.034374999813735485,0.005750000127591193,0.0027399165001043,2.0687500182248186e-05,GetNeighbors
g_getneigh_50_Sparse_2,50,61,1225,Sparse,0.04979591836734694,0.043957999878330156,0.006250000296859071,0.0026701455008151243,4.745849946630187e-05,GetNeighbors
g_getneigh_50_Sparse_3,50,61,1225,Sparse,0.04979591836734694,0.061750000895699486,0.007874999937484972,0.0027006874997823616,2.1978999939165078e-05,GetNeighbors
g_getneigh_50_Sparse_4,50,61,1225,Sparse,0.04979591836734694,0.04416699994180817,0.007083999662427232,0.004807208500096749,6.55209996693884e-05,GetNeighbors
g_getneigh_50_Sparse_5,50,61,1225,Sparse,0.04979591836734694,0.07333299981837627,0.009291999958804809,0.005000687499887135,7.962499967106851e-05,GetNeighbors
g_getneigh_50_Medium_1,50,306,1225,Medium,0.24979591836734694,0.11645800077531021,0.008624998372397386,0.002823875000103726,2.0687500182248186e-05,GetNeighbors
g_getneigh_50_Medium_2,50,306,1225,Medium,0.24979591836734694,0.10724999992817175,0.009750001481734216,0.00285437499951513,2.1021000065957196e-05,GetNeighbors
g_getneigh_50_Medium_3,50,306,1225,Medium,0.24979591836734694,0.09804100045585074,0.007874999937484972,0.0029181250001784065,2.5354000172228552e-05,GetNeighbors
g_getneigh_50_Medium_4,50,306,1225,Medium,0.24979591836734694,0.0956250005401671,0.007333001121878624,0.0029411039995466126,2.206249973824015e-05,GetNeighbors
g_getneigh_50_Medium_5,50,306,1225,Medium,0.24979591836734694,0.09975000102713238,0.007374999768217094,0.002846791499905521,2.2124999304651283e-05,GetNeighbors
g_getneigh_50_Dense_1,50,735,1225,Dense,0.6,0.18345900025451556,0.012874999811174348,0.002915729500273301,2.3166499886428937e-05,GetNeighbors
g_getneigh_50_Dense_2,50,735,1225,Dense,0.6,0.20804199994017836,0.009458000931772403,0.0028610834997380152,2.1583000489044935e-05,GetNeighbors
g_getneigh_50_Dense_3,50,735,1225,Dense,0.6,0.1716250008030329,0.010666999514796771,0.0029465625002558227,1.9916499695682433e-05,GetNeighbors
g_getneigh_50_Dense_4,50,735,1225,Dense,0.6,0.174082999365055,0.06483299875981174,0.0029400205003184965,2.249999943160219e-05,GetNeighbors
g_getneigh_50_Dense_5,50,735,1225,Dense,0.6,0.183540998477838,0.009375000445288606,0.0029916040002717637,2.0041499737999402e-05,GetNeighbors
g_getneigh_100_Sparse_1,100,247,4950,Sparse,0.0498989898989899,0.09037499876285437,0.012041999070788734,0.005268166500172811,2.3249999685504008e-05,GetNeighbors
g_getneigh_100_Sparse_2,100,247,4950,Sparse,0.0498989898989899,0.10020799891208299,0.014417000784305856,0.005402791999586043,2.320850035175681e-05,GetNeighbors
g_getneigh_100_Sparse_3,100,247,4950,Sparse,0.0498989898989899,0.08816599984129425,0.011457999789854512,0.005282145999444765,2.1229000594757963e-05,GetNeighbors
g_getneigh_100_Sparse_4,100,247,4950,Sparse,0.0498989898989899,0.09362499986309558,0.011457999789854512,0.005231416499555053,2.3416499971062876e-05,GetNeighbors
g_getneigh_100_Sparse_5,100,247,4950,Sparse,0.0498989898989899,0.10429199937789235,0.012500000593718141,0.005288541499794519,2.0292000044719316e-05,GetNeighbors
g_getneigh_100_Medium_1,100,1237,4950,Medium,0.2498989898989899,0.336667000738089,0.016625001080683433,0.005467458000566694,2.1312500393833034e-05,GetNeighbors
g_getneigh_100_Medium_2,100,1237,4950,Medium,0.2498989898989899,0.28133299929322675,0.016541000150027685,0.0055236875004993635,2.2500000341096893e-05,GetNeighbors
g_getneigh_100_Medium_3,100,1237,4950,Medium,0.2498989898989899,0.33074999919335824,0.016666999727021903,0.0055997085000853986,2.7520999537955504e-05,GetNeighbors
g_getneigh_100_Medium_4,100,1237,4950,Medium,0.2498989898989899,0.28449999990698416,0.01633300053072162,0.005476770999848668,2.0478999431361444e-05,GetNeighbors
g_getneigh_100_Medium_5,100,1237,4950,Medium,0.2498989898989899,0.32729200029280037,0.015749999874969944,0.00553154149929469,2.135399972758023e-05,GetNeighbors
g_getneigh_100_Dense_1,100,2970,4950,Dense,0.6,0.7092079995345557,0.02670800131454598,0.005911708500207169,2.3541500013379846e-05,GetNeighbors
g_getneigh_100_Dense_2,100,2970,4950,Dense,0.6,0.6772500000806758,0.0255839986493811,0.005934749999141786,2.0458500330278184e-05,GetNeighbors
g_getneigh_100_Dense_3,100,2970,4950,Dense,0.6,0.683250000292901,0.030290999347926117,0.00587356250071025,2.0812500224565156e-05,GetNeighbors
g_getneigh_100_Dense_4,100,2970,4950,Dense,0.6,0.6885000002512243,0.025084000299102627,0.005783583000265935,2.216649954789318e-05,GetNeighbors
g_getneigh_100_Dense_5,100,2970,4950,Dense,0.6,0.6568330009031342,0.02616600067995023,0.005991604500195535,2.2500000341096893e-05,GetNeighbors
g_getneigh_200_Sparse_1,200,995,19900,Sparse,0.05,0.2838749987859046,0.026666999474400654,0.010740520500803541,2.5874999664665665e-05,GetNeighbors
g_getneigh_200_Sparse_2,200,995,19900,Sparse,0.05,0.2964590003102785,0.030125000193947926,0.010774729000331718,2.347899953747401e-05,GetNeighbors
g_getneigh_200_Sparse_3,200,995,19900,Sparse,0.05,0.2946250006061746,0.026249999791616574,0.010948521000500477,2.3145999875850976e-05,GetNeighbors
g_getneigh_200_Sparse_4,200,995,19900,Sparse,0.05,0.29474999973899685,0.07870799890952185,0.01057387499986362,2.3979499928827863e-05,GetNeighbors
g_getneigh_200_Sparse_5,200,995,19900,Sparse,0.05,0.2936250002676388,0.03716700121003669,0.010645999999724154,2.3874999897088856e-05,GetNeighbors
g_getneigh_200_Medium_1,200,4975,19900,Medium,0.25,1.089499999579857,0.05666699871653691,0.011172437500135857,2.354200023546582e-05,GetNeighbors
g_getneigh_200_Medium_2,200,4975,19900,Medium,0.25,1.1279590016783914,0.05770799907622859,0.011135853999803658,2.3041499844111968e-05,GetNeighbors
g_getneigh_200_Medium_3,200,4975,19900,Medium,0.25,1.147208000475075,0.051791999794659205,0.011290166999970097,2.3479000446968712e-05,GetNeighbors
g_getneigh_200_Medium_4,200,4975,19900,Medium,0.25,1.158499999291962,0.05145800059835892,0.011110624999673746,2.220799979113508e-05,GetNeighbors
g_getneigh_200_Medium_5,200,4975,19900,Medium,0.25,1.132625000536791,0.047792000259505585,0.010994604000188701,2.4353999833692797e-05,GetNeighbors
g_getneigh_200_Dense_1,200,11940,19900,Dense,0.6,2.607166999951005,0.07841600017854944,0.011775229000704712,2.1083000319777057e-05,GetNeighbors
g_getneigh_200_Dense_2,200,11940,19900,Dense,0.6,2.6474999995116377,0.07112500134098809,0.011681146000228182,2.0792000213987194e-05,GetNeighbors
g_getneigh_200_Dense_3,200,11940,19900,Dense,0.6,2.568833000623272,0.06395799937308766,0.011771833000238985,2.3479499759559985e-05,GetNeighbors
g_getneigh_200_Dense_4,200,11940,19900,Dense,0.6,2.6614170001266757,0.07062499935273081,0.011770625000281143,2.2103999981482048e-05,GetNeighbors
g_getneigh_200_Dense_5,200,11940,19900,Dense,0.6,2.567375000580796,0.06445799954235554,0.011771978999604471,2.4124999981722794e-05,GetNeighbors
g_getneigh_500_Sparse_1,500,6237,124750,Sparse,0.04999599198396794,1.6120000000228174,0.1526670002931496,0.027884291500413383,2.758350001386134e-05,GetNeighbors
g_getneigh_500_Sparse_2,500,6237,124750,Sparse,0.04999599198396794,1.561875000334112,0.13908400069340132,0.028729103999467043,3.7562500438070856e-05,GetNeighbors
g_getneigh_500_Sparse_3,500,6237,124750,Sparse,0.04999599198396794,1.5980829994077794,1.087708000341081,0.028073374999621592,2.8812500204367097e-05,GetNeighbors
g_getneigh_500_Sparse_4,500,6237,124750,Sparse,0.04999599198396794,1.5652500005671754,0.14095899859967176,0.02821512500031531,2.6249999791616574e-05,GetNeighbors
g_getneigh_500_Sparse_5,500,6237,124750,Sparse,0.04999599198396794,1.584125000590575,0.15825000082259066,0.027899271000023873,2.804199993988732e-05,GetNeighbors
g_getneigh_500_Medium_1,500,31187,124750,Medium,0.24999599198396794,7.312625000849948,0.47833300050115213,0.029464187499797845,2.2937500034458935e-05,GetNeighbors
g_getneigh_500_Medium_2,500,31187,124750,Medium,0.24999599198396794,7.059916999423876,0.4634589986380888,0.02893941700040159,2.5249999453080818e-05,GetNeighbors
g_getneigh_500_Medium_3,500,31187,124750,Medium,0.24999599198396794,7.141292000596877,0.47850000009930227,0.029086395999911474,2.5020999601110816e-05,GetNeighbors
g_getneigh_500_Medium_4,500,31187,124750,Medium,0.24999599198396794,7.080625000526197,0.47041700054251123,0.029301749999831372,2.5270999685744755e-05,GetNeighbors
g_getneigh_500_Medium_5,500,31187,124750,Medium,0.24999599198396794,7.162667001466616,0.45004099956713617,0.029511374999856343,2.6853999770537484e-05,GetNeighbors
g_getneigh_500_Dense_1,500,74850,124750,Dense,0.6,17.203792000145768,1.0237500009679934,0.030862187500133587,2.5499999537714757e-05,GetNeighbors
g_getneigh_500_Dense_2,500,74850,124750,Dense,0.6,17.13637499960896,1.001749998977175,0.030772208499911358,2.3791500098013785e-05,GetNeighbors
g_getneigh_500_Dense_3,500,74850,124750,Dense,0.6,17.053207999197184,1.0025829997175606,0.03085543749966746,2.6749999960884452e-05,GetNeighbors
g_getneigh_500_Dense_4,500,74850,124750,Dense,0.6,16.53479100059485,0.9646250000514556,0.031171041999186855,2.5875000574160367e-05,GetNeighbors
g_getneigh_500_Dense_5,500,74850,124750,Dense,0.6,17.409709000276052,1.0202499997831183,0.030910312500054715,2.6812500436790287e-05,GetNeighbors
